id,season,week,seasonType,startTime,isStartTimeTBD,homeTeam,homeConference,awayTeam,awayConference,mediaType,outlet
401112448,2019,3,regular,2019-09-13T22:00:00.000Z,,Wake Forest,ACC,North Carolina,ACC,tv,ESPN
401112098,2019,3,regular,2019-09-13T23:30:00.000Z,,Boston College,ACC,Kansas,Big 12,tv,ACCN
401112449,2019,3,regular,2019-09-14T23:30:00.000Z,,Syracuse,ACC,Clemson,ACC,tv,ABC
401112449,2019,3,regular,2019-09-14T23:30:00.000Z,,Syracuse,ACC,Clemson,ACC,radio,ESPNRM
401110794,2019,3,regular,2019-09-14T19:30:00.000Z,,South Carolina,SEC,Alabama,SEC,tv,CBS
401110788,2019,3,regular,2019-09-14T16:00:00.000Z,,Georgia,SEC,Arkansas State,Sun Belt,tv,ESPN2
401110790,2019,3,regular,2019-09-14T23:30:00.000Z,,LSU,SEC,Northwestern State,,tv,SECN
401112116,2019,3,regular,2019-09-15T00:00:00.000Z,,UCLA,Pac-12,Oklahoma,Big 12,tv,FOX
401112159,2019,3,regular,2019-09-14T16:00:00.000Z,,Indiana,Big Ten,Ohio State,Big Ten,tv,FOX
401114336,2019,3,regular,2019-09-14T18:30:00.000Z,,Notre Dame,FBS Independents,New Mexico,Mountain West,tv,NBC
401110787,2019,3,regular,2019-09-14T23:00:00.000Z,,Auburn,SEC,Kent State,Mid-American,tv,ESPN2
401110789,2019,3,regular,2019-09-14T23:00:00.000Z,,Kentucky,SEC,Florida,SEC,tv,ESPN
401112136,2019,3,regular,2019-09-15T00:00:00.000Z,,Rice,Conference USA,Texas,Big 12,tv,CBSSN
401112259,2019,3,regular,2019-09-14T16:00:00.000Z,,Penn State,Big Ten,Pittsburgh,ACC,tv,ABC
401114194,2019,3,regular,2019-09-15T02:45:00.000Z,,Oregon,Pac-12,Montana,,tv,PAC12
401110796,2019,3,regular,2019-09-14T23:00:00.000Z,,Texas A&M,SEC,Lamar,,tv,ESPNU
401114208,2019,3,regular,2019-09-14T19:30:00.000Z,,UCF,American Athletic,Stanford,Pac-12,tv,ESPN
401112214,2019,3,regular,2019-09-14T20:00:00.000Z,,Michigan State,Big Ten,Arizona State,Pac-12,tv,FOX
401112086,2019,3,regular,2019-09-14T20:00:00.000Z,,Iowa State,Big 12,Iowa,Big Ten,tv,FS1
401112203,2019,3,regular,2019-09-14T16:00:00.000Z,,Temple,American Athletic,Maryland,Big Ten,tv,CBSSN
401117503,2019,3,regular,2019-09-15T02:15:00.000Z,,Boise State,Mountain West,Portland State,,tv,ESPN2
401114234,2019,3,regular,2019-09-14T23:30:00.000Z,,Washington,Pac-12,Hawai'i,Mountain West,tv,PAC12
401114219,2019,3,regular,2019-09-14T19:30:00.000Z,,BYU,FBS Independents,USC,Pac-12,tv,ABC
401112451,2019,3,regular,2019-09-14T23:30:00.000Z,,Virginia,ACC,Florida State,ACC,tv,ACCN
401117863,2019,3,regular,2019-09-14T16:00:00.000Z,,Cincinnati,American Athletic,Miami (OH),Mid-American,tv,ESPNU
401110795,2019,3,regular,2019-09-14T16:00:00.000Z,,Tennessee,SEC,Chattanooga,,tv,SECN
401110792,2019,3,regular,2019-09-14T16:00:00.000Z,,Mississippi State,SEC,Kansas State,Big 12,tv,ESPN
401112455,2019,3,regular,2019-09-14T16:00:00.000Z,,Virginia Tech,ACC,Furman,,tv,ACCN
401112144,2019,3,regular,2019-09-14T16:00:00.000Z,,West Virginia,Big 12,NC State,ACC,tv,FS1
401112147,2019,3,regular,2019-09-14T16:00:00.000Z,,Illinois,Big Ten,Eastern Michigan,Mid-American,tv,BTN
401112452,2019,3,regular,2019-09-14T16:30:00.000Z,,Georgia Tech,ACC,The Citadel,,web,ACCNX
401114185,2019,3,regular,2019-09-14T17:00:00.000Z,,Colorado,Pac-12,Air Force,Mountain West,tv,PAC12
401114257,2019,3,regular,2019-09-14T18:00:00.000Z,,Ball State,Mid-American,Florida Atlantic,Conference USA,web,ESPN+
401121939,2019,3,regular,2019-09-14T18:00:00.000Z,,Coastal Carolina,Sun Belt,Norfolk State,,web,ESPN3
401119263,2019,3,regular,2019-09-14T19:00:00.000Z,,Central Michigan,Mid-American,Akron,Mid-American,web,ESPN+
401117864,2019,3,regular,2019-09-14T19:30:00.000Z,,Navy,American Athletic,East Carolina,American Athletic,tv,CBSSN
401117865,2019,3,regular,2019-09-14T19:30:00.000Z,,South Alabama,Sun Belt,Memphis,American Athletic,tv,ESPNU
401114261,2019,3,regular,2019-09-14T19:30:00.000Z,,UT San Antonio,Conference USA,Army,FBS Independents,tv,NFL
401112231,2019,3,regular,2019-09-14T19:30:00.000Z,,Minnesota,Big Ten,Georgia Southern,Sun Belt,tv,BTN
